IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.26.186.86,443,443,true,LAX,North America,US,Los Angeles,141,4.46
185.212.60.148,443,443,true,AMS,Europe,NL,Amsterdam,191,2.12
38.180.48.228,443,443,true,FRA,Europe,DE,Frankfurt,191,0.70
146.235.199.164,443,443,true,SJC,North America,US,San Jose,158,0.62
107.175.193.134,443,443,true,AMS,Europe,NL,Amsterdam,218,0.43
18.216.55.100,443,443,true,CMH,North America,US,Columbus,207,0.42
186.67.70.55,443,443,true,SCL,South America,CL,Santiago,270,0.11
47.129.10.7,443,443,true,SIN,Asia Pacific,SG,Singapore,84,0.08
3.9.223.59,443,443,true,LHR,Europe,GB,London,184,0.07
23.94.217.204,443,443,true,AMS,Europe,NL,Amsterdam,256,0.07
3.75.170.179,443,443,true,FRA,Europe,DE,Frankfurt,185,0.07
95.142.45.147,443,443,true,ARN,Europe,SE,Stockholm,220,0.06
18.235.208.126,443,443,true,IAD,North America,US,Ashburn,210,0.06
152.70.59.35,443,443,true,FRA,Europe,DE,Frankfurt,265,0.06
13.228.142.218,443,443,true,SIN,Asia Pacific,SG,Singapore,85,0.06
141.148.239.116,443,443,true,FRA,Europe,DE,Frankfurt,235,0.05
141.147.109.53,443,443,true,FRA,Europe,DE,Frankfurt,256,0.05
185.104.250.204,443,443,true,HEL,Europe,FI,Helsinki,294,0.05
138.2.138.113,443,443,true,FRA,Europe,DE,Frankfurt,236,0.04
94.177.8.23,443,443,true,VIE,Europe,AT,Vienna,262,0.04
152.70.63.195,443,443,true,FRA,Europe,DE,Frankfurt,248,0.04
141.147.114.60,443,443,true,LHR,Europe,GB,London,288,0.04
8.20.125.2,443,443,true,SFO,North America,US,San Francisco,142,0.04
195.133.13.93,443,443,true,ARN,Europe,SE,Stockholm,231,0.04
212.192.31.162,443,443,true,FRA,Europe,DE,Frankfurt,266,0.04
31.172.70.222,443,443,true,FRA,Europe,DE,Frankfurt,237,0.04
185.203.116.174,443,443,true,SOF,Europe,BG,Sofia,234,0.04
143.47.236.186,443,443,true,FRA,Europe,DE,Frankfurt,275,0.04
34.193.164.187,443,443,true,IAD,North America,US,Ashburn,237,0.03
67.226.222.2,443,443,true,CMH,North America,US,Columbus,202,0.03
192.210.183.190,443,443,true,DUB,Europe,IE,Dublin,261,0.03
146.56.163.80,443,443,true,ICN,Asia Pacific,KR,Seoul,220,0.03
81.22.132.113,443,443,true,AMS,Europe,NL,Amsterdam,175,0.03
143.47.184.153,443,443,true,FRA,Europe,DE,Frankfurt,243,0.03
193.123.60.11,443,443,true,FRA,Europe,DE,Frankfurt,269,0.03
141.148.243.80,443,443,true,FRA,Europe,DE,Frankfurt,273,0.02
143.47.177.227,443,443,true,FRA,Europe,DE,Frankfurt,281,0.02
109.234.34.136,443,443,true,AMS,Europe,NL,Amsterdam,223,0.02
91.227.77.87,443,0,true,SOF,Europe,BG,Sofia,258,0.02
162.19.247.245,443,443,true,FRA,Europe,DE,Frankfurt,193,0.02
107.175.187.16,443,443,true,DUB,Europe,IE,Dublin,242,0.02
67.226.223.11,443,443,true,LHR,Europe,GB,London,192,0.02
176.97.75.90,443,443,true,FRA,Europe,DE,Frankfurt,195,0.02
141.148.247.18,443,443,true,FRA,Europe,DE,Frankfurt,263,0.02
89.168.120.243,443,443,true,FRA,Europe,DE,Frankfurt,242,0.01
